革,"become serious, leather, reform, skin"
符,"charm, mark, sign, tally, token"
踊,"dance, jump, leap, skip"
章,"badge, chapter, composition, design, poem"
紹,"help, inherit, introduce"
装,"attire, disguise, dress, pretend, profess"
普,"Prussia, generally, universal, wide(ly)"
較,"compare, contrast"
型,"model, mould, type"
咲,"bloom, blossom"
層,"floor, layer, social class, story, stratum"
灯,"a light, counter for lights, lamp, light"
膚,"body, disposition, grain, skin, texture"
冊,"counter for books, tome, volume"
総,"all, full, general, total, whole"
札,"bid, counter for bonds, paper money, placard, tag"
焼,"bake, burning"
恵,"blessing, favor, grace, kindness"
刷,"brush, print, printing"
浴,"bask in, bathe, be favored with"
武,"arms, chivalry, military, warrior"
操,"chastity, fidelity, maneuver, manipulate, operate, steer, virginity"
翌,"next, the following"
燥,"dry up, parch"
封,"closing, seal"
象,"elephant, image, imitate, pattern after, shape, sign (of the times)"
凍,"congeal, frozen, refrigerate"
額,"amount, forehead, framed picture, plaque, sum, tablet, volume"
敬,"awe, honor, respect, revere"
造,"create, make, physique, structure"
島,island
皿,"a helping, dish, plate"
照,"bashful, compare, illuminate, shine"
像,"figure, image, picture, portrait, statue"
副,"aide, assistant, copy, duplicate, vice-"
傾,"bias, incline, lean, ruin, sink, tilt, trend, wane"
幅,"hanging scroll, width"
憎,"detest, hate"
復,"restore, resume, return to, revert"
絡,"coil around, entwine, get caught in"
蔵,"have, hide, own, possess, storehouse"
党,"clique, faction, party"
贈,"award to, confer on, give to, presenting something, presents, send"
臓,"bowels, entrails, viscera"
複,"compound, double, duplicate, multiple"
賞,"praise, prize, reward"
乱,"disorder, disturb, riot, war"
塔,"pagoda, steeple, tower"
卵,"egg, ovum, roe, spawn"
沸,"boil, breed, ferment, seethe, uproar"
仏,"Buddha, France, the dead"
算,"abacus, calculate, divining, number, probability"
則,"based on, follow, law, model after, rule"
湯,"bath, hot spring, hot water"
芸,"acting, art, craft, performance, stunt, technique, trick"
粉,"dust, flour, powder"
条,"article, clause, counter for articles, clauses, paragraphs, etc., item, streak, stripe, twig"
劇,"drama, play"
測,"fathom, measure, plan, scheme"
筒,"cylinder, gun barrel, pipe, sleeve, tube"
干,"dry, ebb, intercede, interfere, parch, recede"
城,castle
刊,"carve, engrave, publish"
裏,"amidst, back, in, inside, lining, palm, rear, reverse, sole, wrong side"
甘,"be content, coax, pamper, sugary, sweet"
汗,"perspire, sweat"
血,blood
卒,"die, graduate, private, soldier"
陸,"land, six"
史,"chronicle, history"
畳,"counter for tatami mats, do away with, fold, shut up, tatami mat"
司,"administer, director, govt office, official, rule"
蒸,"foment, get musty, heat, steam, sultry"
兵,"army, private, soldier, strategy, tactics, troops, warfare"
律,"control, gauge, law, regulation, rhythm"
