潔,Meaning
銘,inscription
狂,(some type of) enthusiast
拷,torture
充,enough
繁,complexity
剛,strong
藩,han (estate of a daimyo in the Edo and early Meiji periods)
滅,absurd
享,to receive
朕,We
免,dismissal
豪,Australia
仙,cent (monetary unit)
陳,Chen (ancient Chinese state; approx. 1045-479 BCE)
架,rack
克,nicely
従,lesser (of equal court ranks)
蛮,foolhardiness
渋,kakishibu
鎮,a weight
盤,plate
峡,gorge
銃,gun
宣,imperial order
茂,to grow thickly
獣,beast
椎,any beech tree of genus Castanopsis
模,wooden printing block
華,flower
狭,narrow
縦,the vertical
墜,to fall
妃,princess
叔,aunt
妄,delusion
恭,respect
穀,grain
盲,blindness
渦,whirlpool
酷,severe
染,dyeing
塚,mound
耗,Meaning not found
脅,threat
獄,jail
淑,graceful
扇,folding fan
漬,to soak (in)
披,announcement
猛,greatly energetic
嫁,bride
粛,solemn
栓,stopper
坪,tsubo
肥,manure
網,net
暇,spare time
駒,"piece (in shogi, chess, etc.)"
縮,wearing armour (armor)
旋,melody
禍,disaster
郷,countryside
塾,cram school
鶴,"crane (any bird of the family Gruidae, esp. the red-crowned crane, Grus japonensis)"
卑,cowardly
黙,silence
熟,deeply
寡,widow
呈,to present
紋,(family) crest
矯,"correction (of a fault, defect, flaw, etc.)"
廷,inside the court
秘,secret
箇,counter for the ichi-ni-san counting system (usu. directly preceding the item being counted)
鏡,mirror
昆,insect
冶,melting
稼,to earn (income)
恨,Han (cultural)
俊,excellence
響,echo
践,to step on
扉,door
蚊,mosquito
驚,wonder
瞬,moment
抵,resistance
弥,more and more
仰,to look up (at)
旬,"season (for fruit, seafood, etc.)"
銭,sen (hundredth of a yen)
邸,residence
碑,stone monument bearing an inscription (esp. memorial for future generations)
厄,misfortune
暁,dawn
巡,"counter for tours, cycles, rounds, circuits, etc."
潜,diving
亭,arbor
罷,to cease
我,I
紺,navy blue
盾,shield
貞,firm adherence to one's principles
避,to avoid (physical contact with)
凝,muscle stiffness (esp. in shoulders)
魂,soul
准,semi-
遷,to move (house)
帝,emperor (of Japan)
尾,tail (of an animal)
訳,"conclusion from reasoning, judgement or calculation based on something read or heard"
芽,sprout
墾,new rice field
殉,martyrdom
訂,correction
眉,eyebrow
賀,congratulation
懇,kind
薦,woven straw mat (orig. made of wild rice leaves)
躍,desperate
雅,refinement
循,circulation
繊,daikon julienne
逓,"communications (e.g. post, telegraph)"
餓,to starve
佐,to save
鮮,vivid
微,minuteness
沙,sand
偵,scouting
斤,kin
潤,moisture
堤,bank
遵,"to obey (an order, law, etc.)"
提,ceremonial sake decanter with a spout and semicircular handle
愉,enjoyable
唆,to instigate
諭,"to make (someone) understand (a fault, mistake, etc.)"
禅,dhyana (profound meditation)
艇,(small) boat
戒,admonition
菌,fungus
詐,fraud
漸,a little
締,to tie
泌,keenly
癒,to heal
鎖,chain
唯,ordinary
怪,mystery
琴,koto (13-stringed Japanese zither)
庶,common people
繕,to mend
姫,young lady of noble birth
拐,to carry off
筋,muscle
狙,"to aim at (with a weapon, etc.)"
悔,"frustrated (over a failure, humiliation or injustice)"
阻,obstruction
笛,flute
摘,to pinch
幽,ghost
緊,to be shut
災,calamity
租,rice tax (ritsuryō system)
俵,straw bag
悠,quiet
錦,brocade
素,origin
票,vote
謹,to be careful
采,dice
如,like
措,measure
敵,opponent
湧,to well (up)
襟,collar
砕,to break (into pieces)
粗,almost
漂,to drift
猶,still
吟,recitation (of a poem)
宰,prime minister
序,opportunity
迭,alternate succession (e.g. to throne)
裕,wealthy
栽,cultivation
叙,descriptive poetry
疎,incompletely
哲,sage
苗,seedling
塊,lump
彩,vivid
徐,"going slowly (of a car, train, etc.)"
訴,to raise
雄,"male (animal, plant)"
句,section (i.e. of text)
塑,plaster image
徹,to go by
誘,to invite
撤,evacuation
描,to draw
憂,depression
駆,to run
升,measuring container
礎,foundation stone
融,financing
壊,to be broken
斎,congratulation
典,ceremony
懐,inside the breast of one's clothing (esp. kimono)
壮,vibrancy
浜,beach
愚,foolishness
匠,craftsman
賓,visitor from afar
裁,judge
抄,excerpt
添,to garnish
頻,frequently
誉,Nakajima Homare
劾,report of an official's offence to the emperor (offense)
遇,coincidence
債,debt
肖,portrait
奏,report to the emperor
敏,quick
催,event
尚,still
瓶,bottle
荘,manor
涯,horizon
屈,disgrace
羊,sheep (Ovis aries)
街,town
載,10^44
慨,deploring the course of public events
松,pine tree (Pinus spp.)
倉,warehouse
熊,bear (any mammal of family Ursidae)
沼,marsh
斗,to
該,said
繰,to repeat
昭,nth year in the Shōwa era (1926.12.25-1989.1.7)
挿,"to hold between (e.g. one's fingers, chopsticks)"
吐,nausea
扶,to save
概,appearance
宵,evening
桑,mulberry (tree)
庸,tax paid to avoid forced labor (ritsuryō period)
剤,medicine
巣,nest
揚,to raise
垣,fence
勲,merit (esp. order of merit)
揺,vibration
薫,aroma
症,illness
曹,palace room for government officials
附,to attach
崎,cape (on coast)
祥,omen (usu. good)
郡,district
称,name
爽,fresh
削,"to shave (wood, leather, etc.)"
赴,to go in the direction of
唱,to sing
創,wound
刑,penalty
喪,mourning
奴,fellow
核,stone (of a fruit)
索,rope
渉,to cross over
殻,shell
系,system
策,plan
葬,funeral
窯,stove
郭,district
径,road
酢,vinegar
養,training
茎,stalk
搾,"to wring (towel, rag)"
訟,litigation
僧,monk
刀,sword (esp. Japanese single-edged)
腐,decomposition
擁,protection
錯,rubbing
敷,suffix indicating room size (following a number of tatami mats and a counter)
謡,noh chanting
隔,every other
掌,palm (of the hand)
閣,cabinet ministers
契,contract
晶,crystallization
賦,poem
抑,in the first place
遭,to meet
譜,(sheet) music
獲,to get
焦,focus
槽,ship
豆,"legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses)"
侮,(something) despised
嚇,to threaten
啓,enlightenment
硝,glass
穫,to harvest
掲,notice
渓,valley
詔,imperial decree
翼,wing
岳,peak
証,proof
霜,frost
蛍,firefly (Luciola cruciata)
撮,to take (a photograph)
騒,noise
裸,nakedness
擦,to rub
傷,wound
藻,algae
伏,to turn over (face down)
羅,Latin (language)
奨,scholarship
掛,credit
桃,peach (Prunus persica)
雷,lightning
潟,lagoon
詳,detailed
討,debate
括,brackets
携,carrying (on one's person or in the hand)
彰,Shōgitai (group of former Tokugawa retainers opposed to the Meiji government and fought in the battle of Ueno)
透,transparent
継,continuation
障,shoji (paper sliding door)
喝,exclamation used to scold practitioners (in Zen)
桟,sheathing (under thatched roofing)
憧,to long for
悼,to grieve over
酪,"acidic drink made from fermented milk (cow, sheep, mare; one of the five flavors in Buddhism)"
渇,thirst
慶,to be delighted
蚕,silkworm (Bombyx mori)
衝,important point (e.g. on a route)
惨,appalling
即,instantly
陶,pottery
覆,concealment (of one's vices)
償,recompense
滑,to glide
憩,rest
傘,umbrella
礁,reef
搭,embarkation
覧,to see
褐,dark indigo (almost black)
鐘,bell (often a large hanging bell)
促,promotion
棟,ridge (of roof)
濫,abuse
轄,wedge
鶏,bird
藍,"dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)"
且,and
酸,acid
痘,smallpox
欄,section (e.g. in a newspaper)
株,stock
冗,waste
紛,dispute
吏,government official
鯨,whale (Cetacea spp.)
雰,atmosphere
鎌,sickle
噴,eruption
刈,cut
暫,for a moment
墳,grave
撃,to hit (someone)
士,warrior (esp. of military retainers of daimyos in the Edo period)
俗,layman (esp. as opposed to a Buddhist monk)
統,unity
憤,indignation
痢,diarrhea
激,extremely
浄,clean
稲,rice plant (Oryza sativa)
奮,strenuous effort
剰,besides
属,genus
踏,railway crossing
履,shoe
賊,thief
糖,sugar
璃,Meaning not found
缶,can
穴,hole
氏,Mr
離,"li (one of the trigrams of the I Ching: fire, south)"
謄,certified copy
丙,third rank
肝,liver
率,rate
藤,"wisteria (esp. Japanese wisteria, Wisteria floribunda)"
結,marriage
闘,to make war (on)
冠,traditional cap worn by Shinto clergy and courtiers
傑,the top (e.g. top ten)
縄,rope
騰,rise (in price or value)
併,however
